feature_flag,set_name,theme,mpn,pieces,price,rrp,stock
22% OFF,101 Dalmatians Puppy,Disney,#43269,"1,722 pieces",£101,£129.99 ,1
"REMOTE CONTROL
15% OFF",4x4 Mercedes-Benz Zetros Trial Truck,Technic,#42129,"2,108 pieces",£230,£274.99 ,1
NEW,Sealed Box of 36,Animals Series 28,#71051,36 pieces,£149.99 ,,1
RETIRED 2023,VIP 3x Logo Cap,Clothing,#5007998,4 pieces,£29.99 ,,1
"RETIRED
MAGAZINE GIFT",Batcopter,Batman,#212502,36 pieces,£6.99 ,,1
"RETIRED
MAGAZINE GIFT",Batman and Batjet,Batman,#212326,29 Pieces,£6.99 ,,1
RETIRED 2025,Batman Construction Figure and the Bat-Pod Bike,Batman,#76273,713 pieces,£64.99 ,,2
RETIRED 2017,Beast Master's Chaos Chariot,Nexo Knights,#70314,314 pieces,£49.99 ,,1
3-IN-1,Beautiful Horse,Creator 3-in-1,#31166,685 pieces,£39.99 ,,1
10% OFF,Bonsai Tree,Botanical Collection,#10281,878 pieces,£39.99 ,£49.99 ,2
JIGSAW PUZZLE,Brick Botanicals Puzzle,Tabletop Games and Puzzles,#5007851,"1,000 pieces",£14.99 ,,1
"RETIRED
GWP EXCLUSIVE",Celebration: Ferris Wheel with Fireworks,Seasonal,#40758,230 pieces,£14.99 ,,1
RETIRED,City Advent Calendar 2025,City,#60475,186 pieces,£29.99 ,,1
"RETIRED
GWP EXCLUSIVE",Corner Kiosk,Promotional,#40757,205 pieces,£46.82 ,,1
15% OFF,Creative Dinosaurs,Creative,#11041,450 pieces,£24.99 ,£29.99 ,1
CLASSIC MINI BUILDS,Creative Food Friends,Creative,#11039,150 pieces,£8.99 ,,1
"BUNNY, SEAL & LLAMA",Cute Bunny,Creator 3-in-1,#31162,326 pieces,£19.99 ,,2
DAMAGED BOX DISCOUNT,Desert Skiff & Sarlacc Pit,Episode VI,#75396,558 pieces,£84.99 ,,1
RETIRED,Disney Frozen Advent Calendar 2025,Disney,#43273,231 pieces,£29.99 ,,1
RETIRED 2025,Elphaba & Glinda Figures,Wicked BrickHeadz,#40794,325 pieces,£34.99 ,,1
EXCLUSIVE MINIFIGS,Emergency Ambulance,Hospital,#60451,184 pieces,£14.99 ,,1
TEAM PAPAYA,F1 Driver with McLaren Race Car,McLaren F1,#60442,86 pieces,£10.99 ,,1
RETIRED,Friends Advent Calendar 2025,Friends,#42668,237 pieces,£29.99 ,,1
15% OFF,Game Boy,Nintendo,#72046,421 pieces,£49.99 ,£59.99 ,1
15% OFF,Happy Plants,Botanical Collection,#10349,217 pieces,£14.99 ,£17.99 ,1
15% OFF,Hogwarts Castle and Grounds,Harry Potter,#76419,"2,660 pieces",£129.99 ,£149.99 ,1
"RETIRED
GWP EXCLUSIVE",Hot Chocolate Stand,Christmas,#40776,256 pieces,£19.99 ,,5
£35 OFF,Jabba's Sail Barge,Ultimate Collector Series,#75397,"3,942 pieces",£394.20 ,£429.99 ,1
£30 OFF,LEGO Star Wars: The Force of Creativity,Ultimate Collector Series,#5008878,,£99.99 ,£129.99 ,1
30% OFF,Lilo and Stitch Beach House,Disney's Lilo and Stitch,#43268,834 pieces,£54.99 ,£79.99 ,1
RETIRED,Lloyd's Race Car EVO,Ninjago,#71763,279 pieces,£29,,1
"RETIRED
GWP EXCLUSIVE",London Bus,Creator City,#40220,118 pieces,£29.99 ,,1
15% OFF,Maleficent's and Cruella de Vil's Dresses,Disney Villians,#43262,524 pieces,£49.99 ,£59.99 ,1
15% OFF,Mario Kart: Toad's Kart,Nintendo,#72032,174 pieces,£14.99 ,£17.99 ,1
20% OFF,Mario Kart: Super Mario's Kart,Nintendo,#72037,"1,972 pieces",£119.99 ,£149.99 ,1
10% OFF,McLaren F1 Team MCL38 Race Car,McLaren F1,#77251,269 pieces,£19.99 ,£21.99 ,1
15% OFF,McLaren P1,McLaren,#42172,"3,893 pieces",£329.99 ,£389.99 ,2
10% OFF,Mercedes-AMG F1 W15 Race Car,Mercedes F1,#77244,267 pieces,£19.99 ,£21.99 ,1
RETIRED,Mighty Dinosaurs,Creator 3-in-1,#31058,174 pieces,£14.99 ,,3
"RETIRED
GWP EXCLUSIVE",Mini Knight's Castle,Black Knights,#40775,590 pieces,£54.99 ,,1
5% OFF,Off-Road Race Buggy,Technic,#42164,219 pieces,£14.55 ,,3
3-IN-1,Playful Cat,Creator 3-in-1,#31163,407 pieces,£19.99 ,,1
RETIRED 2016,Quad Bike,Technic,#42034,148 pieces,34.99,,1
3-IN-1,Record Player with Flowers,Creator 3-in-1,#31172,366 pieces,£24.99 ,,4
"RETIRED
GWP EXCLUSIVE",Red Panda Mei,Disney BrickHeadz,#40798,121 pieces,£14.99 ,,3
RETIRED 2025,Red Sports Car,Traffic,#60448,109 pieces,£9.99 ,,1
VIP EXCLUSIVE,Retro Space Logo Cap,Clothing,#5007090,,£29.99 ,,1
RETIRED 2024,Sailboat,Harbor,#60438,102 pieces,£23.70 ,,1
FULL SET,Complete - All Sets,Series 27 Minifigures,#71048,,£59.99 ,,1
"RETIRED
GWP EXCLUSIVE",Shackleton's Lifeboat,Icons: Gift with Purchase,#40729,232 pieces,£79.90 ,,1
RETIRED 2023,Snowtrooper Battle Pack,Episode V,#75320,105 pieces,£22,,2
RETIRED 1979,Space Transport,Classic Space,#918,86 pieces,£300,,1
NEW,Spider-Man - Across the Spider-Verse - Complete - All Sets,Spider-Man - Across the Spider-Verse,#71050,,£54.99 ,,1
RETIRED,Spider-Man Advent Calendar 2024,Marvel,#76293,246 pieces,£34.99 ,,1
"RETIRED
GWP EXCLUSIVE",Star Trek: Type-15 Shuttlepod,Star Trek,#40768,261 pieces,£124.99 ,,3
NEW,Star Wars Advent Calendar 2025,Star Wars,#75418,263 pieces,,,3
DAMAGED BOX DISCOUNT,Stunt Show Truck,Stuntz,#60294,420 pieces,£44.99 ,£59.99 ,1
RETIRED 2024,Tiefling Sorcerer,Dungeons & Dragons,#71047,4 pieces,£5.99,,1
15% OFF,Trevi Fountain,Architecture Landmarks,#21062,"1,880 pieces",£119.99 ,£139.99 ,3
GIANT MINIFIG,Up-Scaled Santa Minifigure,Christmas,#40820,761 pieces,£46.99 ,,1
CLASSIC,Vespa,City,#40517,118 pieces,£14.99 ,,1
VIP EXCLUSIVE,Vintage-style Octan Cap,Clothing,#5007089,,£29.99 ,,1
RETIRED 2025,War Machine,The Infinity Saga,#242502,,£6.99 ,,1
20% OFF,Wild Animals: Colorful Hummingbird,Creator 3-in-1,#31384,312 pieces,£19.99 ,,1
3-IN-1,Wild Animals: Surprising Spider,Creator 3-in-1,#31159,153 pieces,£9.99 ,,1
3-IN-1,Wild Animals: Tropical Toucan,Creator 3-in-1,#31173,225 pieces,£19.99 ,,2
RETIRED 2025,Wolfpack Beastmaster,Wolfpack Castle Knights,#71048,4 pieces,£12.99 ,,1